cantidad,tiempo_ms
170,283.41221809387207
100,261.7758909861247
105,227.55837440490723
10,8.902947107950846
110,234.37794049580893
115,282.0863723754883
120,276.71607335408527
125,265.30981063842773
130,241.46397908528647
135,279.6303431193034
140,248.4163443247477
145,303.2877445220947
150,311.8580977121989
155,298.1871763865153
15,9.5062255859375
160,230.17231623331705
165,300.98923047383624
175,312.7634525299072
180,627.5294621785482
185,418.6299641927083
190,426.5898863474528
195,669.8880195617676
200,609.4168027242025
20,9.44956143697103
25,11.625448862711588
30,11.71422004699707
35,14.152606328328451
40,12.443621953328451
45,57.449658711751304
50,114.43972587585449
55,57.133992513020836
60,104.86038525899251
65,68.42358907063802
70,63.721021016438804
75,34.682830174764
80,57.48303731282552
85,218.06597709655762
90,38.27047348022461
95,35.793145497639976
