cantidad,tiempo_ms
1000,208.72316360473633
100,1.8691062927246094
1100,253.11384201049805
1200,301.1101722717285
1300,353.26905250549316
1400,409.54365730285645
1500,473.05188179016113
1600,534.5344543457031
1700,599.9185562133789
1800,674.5074272155762
1900,757.3717594146729
2000,836.4961624145508
200,7.564735412597656
2100,924.6634006500244
2200,1009.950590133667
2300,1103.0580520629883
2500,1305.776834487915
2600,1409.6270084381104
2700,1520.7568645477295
2800,1641.1967754364014
2900,1761.506462097168
3000,1893.4407711029053
300,17.156076431274414
3100,2015.8131122589111
3200,2145.6948280334473
3300,2283.9494705200195
3400,2431.309986114502
3500,2569.533634185791
3600,2728.5694122314453
3700,2877.976703643799
3800,3070.8236694335938
3900,3223.9078044891357
400,31.490516662597656
4100,3534.4202041625977
4200,3716.8885707855225
4300,3900.4586219787598
4400,4095.2592372894287
4500,4276.685428619385
4600,4467.132663726807
4700,4647.81346321106
4800,4883.296871185303
4900,5070.477819442749
5000,5234.040069580078
500,48.761940002441406
5100,5453.242254257202
5200,5670.017147064209
5300,5888.736057281494
5400,6098.341989517212
5600,6501.139879226685
5700,6741.66784286499
5800,6978.455018997192
5900,7398.56333732605
6000,7498.76914024353
600,69.9892520904541
6100,7759.178876876831
6200,8128.7328243255615
6300,8465.679264068604
6400,8652.810907363892
6500,8873.761320114136
6600,9310.738849639893
6700,9583.903217315674
6800,10004.131412506104
6900,10113.93084526062
7000,10321.714401245117
2400,1204.8882484436035
4000,3383.1011295318604
5500,6449.537420272827
700,100.01921653747559
7100,10744.157218933105
7200,11016.37578010559
7300,11288.700294494629
7400,11570.495176315308
7500,11662.032413482666
7600,11487.83712387085
7700,11849.222660064697
7800,12304.50005531311
7900,12530.59229850769
8000,12944.109392166138
800,127.935791015625
8100,13280.300569534302
8200,13647.824478149414
8300,14067.182350158691
8400,14856.099891662598
8500,15119.359111785889
8600,15466.678476333618
8700,15698.583507537842
8800,16254.531049728394
8900,16647.773361206055
9000,16946.889066696167
900,166.54372215270996
9100,17524.57528114319
9200,18274.736881256104
9300,18152.881956100464
9400,18365.029335021973
9500,18997.76563644409
9600,19434.976959228516
9700,20134.41662788391
9800,20468.631839752197
9900,21004.531621932983
