cantidad,algoritmo,resultado
1000,pl_entera,17
1000,pl_aproximado,30
1000,greedy,20
100,pl_entera,9
100,pl_aproximado,20
100,greedy,9
10,pl_entera,4
10,pl_aproximado,7
10,greedy,4
1100,pl_entera,18
1100,pl_aproximado,30
1100,greedy,18
1200,pl_entera,18
1200,pl_aproximado,30
1200,greedy,19
1300,pl_entera,19
1300,pl_aproximado,30
1300,greedy,20
1400,pl_entera,20
1400,pl_aproximado,30
1400,greedy,22
1500,pl_entera,19
1500,pl_aproximado,29
1500,greedy,22
1600,pl_entera,19
1600,pl_aproximado,30
1600,greedy,21
1700,pl_entera,20
1700,pl_aproximado,30
1700,greedy,21
1800,pl_entera,20
1800,pl_aproximado,30
1800,greedy,21
1900,pl_entera,20
1900,pl_aproximado,30
1900,greedy,22
2000,pl_entera,20
2000,pl_aproximado,30
2000,greedy,21
200,pl_entera,12
200,pl_aproximado,28
200,greedy,12
20,pl_entera,4
20,pl_aproximado,8
20,greedy,4
2100,pl_entera,20
2100,pl_aproximado,30
2100,greedy,23
2300,pl_entera,20
2300,pl_aproximado,30
2300,greedy,21
2400,pl_entera,21
2400,pl_aproximado,30
2400,greedy,22
2500,pl_entera,21
2500,pl_aproximado,30
2500,greedy,22
2600,pl_entera,21
2600,pl_aproximado,30
2600,greedy,23
2700,pl_entera,21
2700,pl_aproximado,29
2700,greedy,21
2800,pl_entera,21
2800,pl_aproximado,30
2800,greedy,22
2900,pl_entera,21
2900,pl_aproximado,30
2900,greedy,23
3000,pl_entera,21
3000,pl_aproximado,30
3000,greedy,25
300,pl_entera,13
300,pl_aproximado,26
300,greedy,14
30,pl_entera,7
30,pl_aproximado,17
30,greedy,7
3100,pl_entera,21
3100,pl_aproximado,30
3100,greedy,22
3200,pl_entera,21
3200,pl_aproximado,30
3200,greedy,22
3300,pl_entera,22
3300,pl_aproximado,29
3300,greedy,23
3400,pl_entera,22
3400,pl_aproximado,29
3400,greedy,23
3500,pl_entera,22
3500,pl_aproximado,30
3500,greedy,22
3600,pl_entera,22
3600,pl_aproximado,29
3600,greedy,23
3800,pl_entera,22
3800,pl_aproximado,30
3800,greedy,23
3900,pl_entera,22
3900,pl_aproximado,30
3900,greedy,23
4000,pl_entera,21
4000,pl_aproximado,30
4000,greedy,23
400,pl_entera,14
400,pl_aproximado,29
400,greedy,17
40,pl_entera,7
40,pl_aproximado,16
40,greedy,7
4100,pl_entera,22
4100,pl_aproximado,30
4100,greedy,24
4200,pl_entera,22
4200,pl_aproximado,30
4200,greedy,23
4300,pl_entera,22
4300,pl_aproximado,29
4300,greedy,23
4400,pl_entera,22
4400,pl_aproximado,29
4400,greedy,24
4500,pl_entera,22
4500,pl_aproximado,30
4500,greedy,24
4600,pl_entera,22
4600,pl_aproximado,29
4600,greedy,23
4700,pl_entera,23
4700,pl_aproximado,30
4700,greedy,24
4800,pl_entera,22
4800,pl_aproximado,30
4800,greedy,24
4900,pl_entera,23
4900,pl_aproximado,30
4900,greedy,24
5000,pl_entera,22
5000,pl_aproximado,30
5000,greedy,24
500,pl_entera,15
500,pl_aproximado,30
500,greedy,18
600,pl_entera,16
600,pl_aproximado,29
600,greedy,19
60,pl_entera,8
60,pl_aproximado,17
60,greedy,8
2200,pl_entera,20
2200,pl_aproximado,30
2200,greedy,21
3700,pl_entera,22
3700,pl_aproximado,28
3700,greedy,23
50,pl_entera,7
50,pl_aproximado,18
50,greedy,8
700,pl_entera,15
700,pl_aproximado,30
700,greedy,17
70,pl_entera,9
70,pl_aproximado,20
70,greedy,9
800,pl_entera,16
800,pl_aproximado,30
800,greedy,17
80,pl_entera,9
80,pl_aproximado,22
80,greedy,10
900,pl_entera,17
900,pl_aproximado,28
900,greedy,20
90,pl_entera,9
90,pl_aproximado,24
90,greedy,10
