cantidad,algoritmo,resultado
100,backtracking,9
100,pl_entera,9
100,pl_aproximado,20
100,greedy,9
10,backtracking,4
10,pl_entera,4
10,pl_aproximado,7
10,greedy,4
20,backtracking,4
20,pl_entera,4
20,pl_aproximado,8
20,greedy,4
30,backtracking,7
30,pl_entera,7
30,pl_aproximado,17
30,greedy,7
40,backtracking,7
40,pl_entera,7
40,pl_aproximado,16
40,greedy,7
60,backtracking,8
60,pl_entera,8
60,pl_aproximado,17
60,greedy,8
50,backtracking,7
50,pl_entera,7
50,pl_aproximado,18
50,greedy,8
70,backtracking,9
70,pl_entera,9
70,pl_aproximado,20
70,greedy,9
80,backtracking,9
80,pl_entera,9
80,pl_aproximado,22
80,greedy,10
90,backtracking,9
90,pl_entera,9
90,pl_aproximado,24
90,greedy,10
