cantidad,tiempo_ms
20,0.07729530334472656
100,0.4038572311401367
105,0.4024982452392578
10,0.032258033752441406
110,0.4861116409301758
115,0.44074058532714844
120,0.4525423049926758
125,0.5292654037475586
130,0.6193876266479492
135,0.607609748840332
140,0.5314350128173828
145,0.6641149520874023
150,0.7394075393676758
155,0.6095170974731445
15,0.03867149353027344
160,0.6740808486938477
165,0.7163524627685547
170,0.733494758605957
175,0.7735252380371094
180,0.9433269500732422
185,0.6888151168823242
190,0.8936882019042969
195,0.808405876159668
200,1.0091781616210938
25,0.0640869140625
30,0.07638931274414062
35,0.124359130859375
40,0.13720989227294922
45,0.17688274383544922
50,0.1857757568359375
55,0.18074512481689453
5,0.019812583923339844
60,0.25005340576171875
65,0.2337932586669922
70,0.4046440124511719
75,0.31032562255859375
80,0.3232002258300781
85,0.351715087890625
90,0.3154754638671875
95,0.43163299560546875
