cantidad,tiempo_ms
20,0.02586841583251953
100,0.1148223876953125
105,0.14743804931640625
10,0.013756752014160156
110,0.6799936294555664
115,0.6924152374267578
120,0.7168054580688477
125,0.6015300750732422
130,0.42552947998046875
135,0.33452510833740234
140,0.3005027770996094
145,0.2787590026855469
150,0.9674549102783203
155,0.9377479553222656
15,0.102996826171875
160,0.9646892547607422
165,1.0386228561401367
170,1.025700569152832
175,1.0846614837646484
180,1.0953426361083984
185,0.6692886352539062
190,0.4701375961303711
195,0.4810810089111328
200,0.5073785781860352
25,0.06084442138671875
30,0.0711202621459961
35,0.0896453857421875
40,0.0940561294555664
45,0.11343955993652344
50,0.11970996856689453
55,0.1695394515991211
5,0.018143653869628906
60,0.16574859619140625
65,0.2362966537475586
70,0.23715496063232422
75,0.26412010192871094
80,0.2778291702270508
85,0.3098726272583008
90,0.3169536590576172
95,0.3462553024291992
