cantidad,tiempo_ms
20,9.093046188354492
100,10.250043869018555
105,10.715270042419434
10,7.115888595581055
110,12.8082275390625
115,11.433553695678711
120,11.530470848083496
125,11.508488655090332
130,11.861371994018555
135,12.126541137695312
140,12.254858016967773
145,12.464189529418945
150,12.771296501159668
155,12.739181518554688
15,8.041930198669434
160,12.967419624328613
165,12.77625560760498
170,13.133835792541504
175,13.338685035705566
180,13.878560066223145
185,14.033222198486328
190,13.563203811645508
195,14.093995094299316
200,14.760160446166992
25,8.59832763671875
30,8.479833602905273
35,8.509588241577148
40,8.972024917602539
45,9.467697143554688
50,9.70306396484375
55,9.850811958312988
5,7.266783714294434
60,10.689163208007812
65,11.078047752380371
70,10.936474800109863
75,11.234426498413086
80,11.63482666015625
85,11.139297485351562
90,10.784769058227539
95,10.99245548248291
