cantidad,tiempo_ms
10000,375.12253920237225
1000,46.035099029541016
100,13.461152712504068
10,12.064766883850098
1100,50.10916392008463
1200,53.05333932240804
1300,56.42846425374349
1400,59.04828707377116
1500,64.23497994740804
1600,69.07926400502522
1700,70.34813563028972
1800,74.5512326558431
1900,76.42114162445068
2000,79.45205370585124
200,16.38377507527669
20,9.962987899780273
2100,91.44694010416667
2300,93.69744459788005
2400,96.21121088663737
2500,103.51754029591878
2600,104.43674723307292
2700,108.97902647654216
2800,107.0034106572469
2900,118.8230037689209
3000,123.1416384379069
300,20.1358159383138
30,10.791214307149252
3100,125.8208433787028
3200,129.30890719095865
3300,130.54606914520264
3400,134.7976287206014
3500,139.17840321858725
3600,141.6962226231893
3800,151.05672677357992
3900,149.0173101425171
4000,163.4877840677897
400,24.510701497395832
40,10.90864340464274
4100,159.95026429494223
4200,164.55905437469482
4300,174.68786239624023
4400,163.29661210378012
4500,162.09176381429037
4600,171.1608568827311
4700,165.58519204457602
4800,187.4983231226603
4900,190.94471136728922
5000,192.87691116333008
500,27.445300420125324
5100,191.0264492034912
5200,197.82844384511313
5300,189.66006437937418
5400,198.19414615631104
5500,204.44363753000894
5600,204.2032798131307
5700,210.28669675191244
5800,229.17038599650064
5900,240.87231953938803
6000,240.50893783569336
600,31.32658799489339
60,11.85303529103597
6100,230.1281531651815
6200,225.8378823598226
6300,233.13687642415366
6400,240.67436854044595
2200,90.46359062194824
3700,141.95363521575928
50,12.046376864115397
6500,243.6311403910319
8000,298.7300793329875
6600,243.79889170328775
6700,257.0254723230998
6800,255.96445401509604
6900,265.16305605570477
7000,274.4808355967204
700,37.40816911061605
70,12.928573290506998
7100,270.8894332249959
7200,276.4221827189128
7300,276.10193888346356
7400,289.61230913798016
7500,273.9862044652303
7600,296.5615431467692
7700,292.003591855367
7800,309.0688705444336
7900,299.4689464569092
800,40.325927734375
80,13.971606890360514
8100,308.3527485529582
8200,325.83391666412354
8300,309.5921277999878
8400,312.3649040857951
8500,320.323912302653
8600,320.9662675857544
8700,322.1235195795695
8800,336.7341200510661
8900,329.10752296447754
9000,328.5012563069661
900,44.742488861083984
90,12.4160369237264
9100,348.20341269175213
9200,339.08797899882
9300,349.14692242940265
9400,351.34395758310956
9500,373.2099453608195
9600,356.6067695617676
9700,371.53623898824054
9800,367.70916779836017
9900,381.11424446105957
