cantidad,tiempo_ms
170,4.470507303873698
100,0.5165735880533854
105,0.4145304361979167
10,0.021616617838541668
110,4.232724507649739
115,0.49384435017903644
120,0.9884834289550781
125,1.2973944346110027
130,6.429433822631836
135,0.5223751068115234
140,1.7066001892089844
145,6.3152313232421875
150,1.219034194946289
155,3.8487911224365234
15,0.029961268107096355
160,5.007266998291016
165,2.622842788696289
175,5.895376205444336
180,5.075693130493164
185,2.7724901835123696
190,4.4981638590494795
195,4.115819931030273
200,0.5733172098795573
20,0.07176399230957031
25,0.09377797444661458
30,0.054995218912760414
35,0.2810955047607422
40,0.17293294270833334
45,0.25463104248046875
50,0.34538904825846356
55,0.4356702168782552
60,0.4127820332845052
65,0.24493535359700522
70,0.5296866099039713
75,0.5594094594319662
80,0.3558794657389323
85,0.6976127624511719
90,1.2059211730957031
95,0.3142356872558594
